CHILD_DRIV,AGE,CHILDREN,YOJ,INCOME,HOUSE_VAL,STATUS,GENDER,EDU_LEVEL,JOB,DISTANCE,CAR_USE,VEHICLE_VAL,VEHICLE_TYPE,CLM_FREQ,REVOKED,MVR_PTS,VEHICLE_AGE,CLAIM_IND,AREA
0,67,0,14,53841,359229,No,Mal,Bachelors,None,71,Private,21970,Family,0,No,2,12,0,Highly Urban/ Urban
0,26,1,13,16999,265527,NA,Fem,High School,Clerical,50,Private,4010,unknown,4,No,7,12,0,Highly Urban/ Urban
0,71,0,17,,323918,Yes,Mal,<High School,Teacher,77,Private,15440,Minivan,0,No,0,8,0,Highly Urban/ Urban
0,68,0,,115546,361705,Yes,Fem,PhD,Doctor,81,Private,18000,unknown,4,Yes,3,19,0,Highly Urban/ Urban
0,32,1,15,125861,70668,No,Fem,Bachelors,Teacher,91,Commercial,17430,Sports Car,0,No,0,9,1,Highly Urban/ Urban
0,60,0,,19715,,Yes,Fem,<High School,Teacher,78,Private,8780,unknown,0,No,0,3,0,Highly Urban/ Urban
1,49,1,14,51375,530010,NA,Mal,High School,None,66,Private,18930,Minivan,3,No,2,3,1,Highly Urban/ Urban
0,68,2,15,44446,111891,No,Fem,<High School,Teacher,75,Commercial,5900,unknown,0,No,2,12,0,Highly Rural/ Rural
1,58,2,,108921,480905,Yes,Mal,Bachelors,Teacher,89,Commercial,16970,Van,1,Yes,10,9,1,Highly Urban/ Urban
0,23,0,13,64338,300339,No,Fem,Bachelors,Clerical,79,Private,11200,unknown,0,No,4,3,1,Highly Urban/ Urban
0,71,0,10,107512,329784,No,Mal,Bachelors,Banking,93,Commercial,18510,Van,0,No,3,19,0,Highly Rural/ Rural
0,62,0,17,78060,106002,No,Fem,Masters,Nurse,60,Private,18300,Sports Car,0,No,0,13,1,Highly Urban/ Urban
0,50,0,8,53202,315972,Yes,Fem,Masters,Banking,81,Private,22420,Minivan,0,No,0,3,0,Highly Rural/ Rural
0,67,0,14,60122,386347,Yes,Mal,Bachelors,Manager,70,Commercial,17600,Family,4,Yes,5,11,0,Highly Urban/ Urban
0,49,0,14,131355,594789,No,Mal,PhD,,109,Commercial,28340,Panel Truck,0,No,5,12,1,Highly Urban/ Urban
0,49,2,,22164,182559,No,Mal,High School,Clerical,119,Private,9230,Pickup,2,Yes,2,6,0,Highly Rural/ Rural
0,55,0,3,960,371864,Yes,Fem,<High School,Home Maker,93,Private,6000,unknown,2,No,5,7,1,Highly Urban/ Urban
0,34,3,15,52444,410622,No,Fem,Bachelors,Clerical,88,Private,10590,unknown,0,No,2,15,0,Highly Rural/ Rural
0,68,0,15,88020,64779,No,Mal,High School,Manager,90,Private,15420,Minivan,2,No,6,3,1,Highly Urban/ Urban
0,63,0,14,60905,315876,Yes,Mal,Masters,Nurse,87,Private,14190,Family,0,No,0,18,0,Highly Urban/ Urban
0,39,3,16,34579,138987,Yes,Fem,Masters,None,72,Private,8300,unknown,0,No,2,22,0,Highly Urban/ Urban
0,51,2,15,20663,241022,Yes,Fem,<High School,Clerical,93,Private,17330,Minivan,2,No,0,9,0,Highly Urban/ Urban
0,27,1,16,45037,724164,Yes,Fem,High School,Teacher,74,Commercial,8710,unknown,4,No,2,3,1,Highly Urban/ Urban
0,52,0,16,38174,,Yes,Mal,<High School,Teacher,97,Commercial,26560,Panel Truck,0,No,5,3,1,Highly Urban/ Urban
